,date,open,volume_usdt,trade_count,volume_asset,asset_coin,base_coin,avg_trade_asset,avg_trade_usdt,delta_value,delta_range
4164,2020-04-19,5.6581,8084908.517383,25810.0,1458697.8,ETC,USDT,56.51676869430454,313.24713356772565,-0.03154769268835838,0.3097000000000003
4165,2020-04-18,5.3702,8309341.218737,27522.0,1498919.77,ETC,USDT,54.462603371847976,301.91632943597847,0.05346169602621888,0.31130000000000013
4166,2020-04-17,5.4763,6002616.328492,22448.0,1110844.38,ETC,USDT,49.485227191732,267.40094121935135,-0.01928309259901757,0.17360000000000042
4167,2020-04-16,5.1007,14609016.371265,48239.0,2783549.34,ETC,USDT,57.70329691743195,302.8465841179336,0.0734801105730587,0.7031999999999998
4168,2020-04-15,5.2434,6079019.513731,24216.0,1160189.25,ETC,USDT,47.91002849355798,251.03318110881236,-0.027310523705992334,0.2840000000000007
4169,2020-04-14,5.1829,7837188.5138,30347.0,1495659.14,ETC,USDT,49.2852387385903,258.25249658285827,0.011962414864265233,0.25
4170,2020-04-13,5.3126,10079287.809438,37387.0,1969690.62,ETC,USDT,52.68383716265012,269.59338297905686,-0.024865414298083695,0.2870999999999997
4171,2020-04-12,5.2778,7996354.036111,27433.0,1497010.67,ETC,USDT,54.56970327707505,291.48667794667006,0.006953654931979183,0.31759999999999966
4172,2020-04-11,5.2499,8896581.362774,30146.0,1689494.28,ETC,USDT,56.043729848072715,295.1164785634578,0.0058096344692279795,0.27420000000000044
4173,2020-04-10,5.8833,16204364.686104,49863.0,2994030.31,ETC,USDT,60.04512985580491,324.9777327097046,-0.1080176091649245,0.8450000000000006
4174,2020-04-09,5.8272,13040194.009102,39431.0,2254821.7,ETC,USDT,57.18398468210292,330.70918843300956,0.010656919275123565,0.41800000000000015
4175,2020-04-08,5.4726,17986940.942993,55360.0,3150588.43,ETC,USDT,56.91091817196532,324.90861529972904,0.06450316120308441,0.5099999999999998
4176,2020-04-07,5.6223,14969667.480225,48897.0,2660110.32,ETC,USDT,54.402321614822995,306.1469513513099,-0.026217028618181207,0.4485000000000001
4177,2020-04-06,5.0281,15371625.223718,49330.0,2882987.93,ETC,USDT,58.44289337117373,311.6080523762011,0.1176587577812692,0.6004999999999994
4178,2020-04-05,5.1493,6553291.968045,23397.0,1294634.84,ETC,USDT,55.33336923537206,280.09112142774717,-0.023245878080515783,0.2615999999999996
4179,2020-04-04,5.1163,7697372.985433,27630.0,1502218.31,ETC,USDT,54.36910278682591,278.58751304498736,0.006078611496589401,0.20069999999999943
4180,2020-04-03,5.0949,9859938.270296,32410.0,1921122.83,ETC,USDT,59.27561956186362,304.22518575427335,0.004219906180690422,0.24849999999999994
4181,2020-04-02,5.0279,14526982.908106,40459.0,2846603.99,ETC,USDT,70.35774463036655,359.0544231964705,0.013484755066727677,0.3814000000000002
4182,2020-04-01,4.9374,13978891.786815,38790.0,2837655.42,ETC,USDT,73.15430317092034,360.3735959477958,0.017823145785231108,0.26839999999999975
4183,2020-03-31,4.9533,7892015.935156,23388.0,1600667.2,ETC,USDT,68.43967846759021,337.43868373336755,-0.003876203742959171,0.15820000000000078
4184,2020-03-30,4.8099,11471458.520714,36748.0,2323159.39,ETC,USDT,63.21866196799826,312.1655197756068,0.02973034782427905,0.25570000000000004
4185,2020-03-29,4.8141,10296389.026093,30758.0,2094673.65,ETC,USDT,68.10175076402886,334.75482886055664,-0.00031158471988534866,0.2892999999999999
4186,2020-03-28,4.9176,10908274.649904,36133.0,2283731.32,ETC,USDT,63.20347936789084,301.8923048156533,-0.021209533105580013,0.2964000000000002
4187,2020-03-27,5.0968,10173966.43913,32984.0,2000610.24,ETC,USDT,60.653960708222165,308.4515655811909,-0.03451185057290857,0.3732999999999995
4188,2020-03-26,5.02,9854194.735923,38455.0,1969015.47,ETC,USDT,51.203106748147185,256.25262608043164,0.01529880478087658,0.2060000000000004
4189,2020-03-25,5.0637,20154569.069954,75410.0,3971608.96,ETC,USDT,52.666873889404584,267.26653056562793,-0.009005272824219505,0.3743999999999996
4190,2020-03-24,4.9701,18053985.100265,64441.0,3588730.93,ETC,USDT,55.69018063034404,280.1630188896045,0.019235025452204027,0.33640000000000025
4191,2020-03-23,4.5921,18956731.936482,64867.0,3917425.63,ETC,USDT,60.39165723711594,292.2399977875037,0.08161843165436283,0.5682999999999998
4192,2020-03-22,5.0059,24515151.765953,79572.0,5066867.87,ETC,USDT,63.6765177449354,308.0876660879832,-0.08238278830979442,0.7009999999999996
4193,2020-03-21,4.8913,15363321.926909,57043.0,3120870.87,ETC,USDT,54.71084743088547,269.3287857740476,0.02385868787438918,0.48130000000000006
4194,2020-03-20,5.0411,27932892.70356,104057.0,5478703.05,ETC,USDT,52.650980231988235,268.438381882622,-0.030588562020194072,1.0142999999999995
4195,2020-03-19,4.6047,20981453.594851,76050.0,4294046.97,ETC,USDT,56.46347100591716,275.89025108285335,0.09459899667730796,0.8133000000000008
4196,2020-03-18,4.6052,13317556.297844,57007.0,2950337.06,ETC,USDT,51.75394355079201,233.61264928594736,-0.00028228958568566725,0.3515000000000006
